0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,ABOF,avg,mod_avg,mod_ABOF,label
1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,1,-1,-1,366.2504125153908,71.82238165401633,11.822381654016326,6.250412515390792,0
1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,1,-1,-1,366.2504125153908,71.82238165401633,11.822381654016326,6.250412515390792,0
1,1,1,-1,-1,1,-1,1,1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,322.7248340994776,32.074959962421545,2.074959962421545,7.724834099477619,0
1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,1,-1,-1,366.2504125153908,71.82238165401633,11.822381654016326,6.250412515390792,0
1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,1,-1,-1,383.7027540786345,70.72200105804254,10.722001058042537,8.702754078634484,0
1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,1,-1,1,329.79522187029966,62.228077327504074,2.2280773275040744,14.795221870299656,0
1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,-1,293.7454930522428,57.1567160707731,12.1567160707731,8.745493052242807,0
1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,1,263.16684701253644,52.99455253294024,7.99455253294024,8.166847012536437,0
1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,1,-1,-1,383.7027540786345,70.72200105804254,10.722001058042537,8.702754078634484,0
1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,1,-1,-1,383.7027540786345,70.72200105804254,10.722001058042537,8.702754078634484,0
1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,1,-1,-1,366.2504125153908,71.82238165401633,11.822381654016326,6.250412515390792,0
1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,1,-1,1,369.48502533528665,64.9039557830367,4.903955783036693,9.48502533528665,0
1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,329.76621322986534,31.338308933864052,1.3383089338640524,14.766213229865343,0
